"scientific_name","rank"
"Turdus viscivorus","species"
"Apus apus","species"
"Lampornis amethystinus","species"
"Tringa totanus","species"
"Haematopus ostralegus","species"
"Lymnocryptes minimus","species"
"Gallinago gallinago","species"
"Ardea cinerea","species"
"Emberiza aureola","species"
"Columba palumbus","species"
"Sula sula","species"
"Ameletus","genus"
"Acentrella","genus"
"Acerpenna","genus"
"Baetis","genus"
"Callibaetis","genus"
"Centroptilum","genus"
"Cloeon","genus"
"Diphetor hageni","species"
"Heterocloeon","genus"
"Plauditus","genus"
"Procloeon","genus"
"Baetisca","genus"
"Caenis","genus"
"Attenella","genus"
"Dannella","genus"
"Drunella","genus"
"Serratella","genus"
"Ephemera","genus"
"Epeorus","genus"
"Heptagenia","genus"
"Leucrocuta","genus"
"Maccaffertium","genus"
"Rhithrogena","genus"
"Stenacron","genus"
"Stenonema","genus"
"Isonychia","genus"
"Habrophlebia","genus"
"Habrophlebiodes","genus"
"Leptophlebia","genus"
"Paraleptophlebia","genus"
"Metretopus","genus"
"Tricorythodes","genus"
"Apatania","genus"
"Micrasema","genus"
"Brachycentrus","genus"
"Agapetus","genus"
"Culoptila","genus"
"Glossosoma","genus"
"Protoptila","genus"
"Goera","genus"
"Helicopsyche","genus"
"Arctopsyche","genus"
"Ceratopsyche","genus"
"Cheumatopsyche","genus"
"Diplectrona","genus"
"Hydropsyche","genus"
"Macrostemum","genus"
"Parapsyche","genus"
"Hydroptila","genus"
"Leucotrichia","genus"
"Mayatrichia","genus"
"Ochrotrichia","genus"
"Oxyethira","genus"
"Stactobiella","genus"
"Lepidostoma","genus"
"Ceraclea","genus"
"Mystacides","genus"
"Nectopsyche","genus"
"Oecetis","genus"
"Setodes","genus"
"Triaenodes","genus"
"Frenesia","genus"
"Anabolia","genus"
"Asynarchus","genus"
"Hydatophylax","genus"
"Clinocera","genus"
"Hemerodromia","genus"
"Neoplasta","genus"
"Oreogeton","genus"
"Roederiodes","genus"
"Hexatoma","genus"
"Pilaria","genus"
"Rhabdomastix","genus"
"Tipula","genus"
"Steremnius","genus"
"Helichus","genus"
"Agabus","genus"
"Hydroporus","genus"
"Liodessus","genus"
"Sanfilippodytes","genus"
"Stictotarsus","genus"
"Ancyronyx","genus"
"Dubiraphia","genus"
"Macronychus","genus"
"Optioservus","genus"
"Oulimnius","genus"
"Promoresia","genus"
"Stenelmis","genus"
"Haliplus","genus"
"Peltodytes","genus"
"Berosus","genus"
"Helophorus","genus"
"Cambarus","genus"
"Orconectes","genus"
"Pisidium","genus"
"Sphaerium","genus"
"Ferrissia","genus"
"Fossaria","genus"
"Pseudosuccinea","genus"
"Stagnicola","genus"
"Physa","genus"
"Gyraulus","genus"
"Helisoma","genus"
"Amnicola","genus"
"Valvata","genus"
"Hydra","genus"
"Bellamya chinensis","species"
"Limnephilus","genus"
"Psychoglypha","genus"
"Pycnopsyche","genus"
"Psilotreta","genus"
"Chimarra","genus"
"Dolophilodes","genus"
"Wormaldia","genus"
"Oligostomis","genus"
"Cyrnellus","genus"
"Neureclipsis","genus"
"Nyctiophylax","genus"
"Polycentropus","genus"
"Lype","genus"
"Psychomyia","genus"
"Rhyacophila","genus"
"Neophylax","genus"
"Paracapnia","genus"
"Alloperla","genus"
"Haploperla","genus"
"Suwallia","genus"
"Sweltsa","genus"
"Leuctra","genus"
"Amphinemura","genus"
"Nemoura","genus"
"Soyedina","genus"
"Zapada","genus"
"Tallaperla","genus"
"Acroneuria","genus"
"Agnetina","genus"
"Beloneuria","genus"
"Neoperla","genus"
"Paragnetina","genus"
"Cultus","genus"
"Diura","genus"
"Hydroperla","genus"
"Isoperla","genus"
"Isogenoides","genus"
"Yugus","genus"
"Pteronarcys","genus"
"Oemopteryx","genus"
"Taenionema","genus"
"Taeniopteryx","genus"
"Strophopteryx","genus"
"Atherix","genus"
"Blepharicera","genus"
"Alluaudomyia","genus"
"Atrichopogon","genus"
"Probezzia","genus"
"Ceratopogon","genus"
"Leptoconops","genus"
"Mallochohelea","genus"
"Dixa","genus"
"Dixella","genus"
"Chelifera","genus"
"Limnophora","genus"
"Nymphomyia","genus"
"Prosimulium","genus"
"Cnephia","genus"
"Metacnephia","genus"
"Simulium","genus"
"Chrysops","genus"
"Pusa hispida","species"
"Bison bison","species"
"Dyopedos porrectus","species"
"Ericthonius difformis","species"
"Gammaropsis nitida","species"
"Janira alta","species"
"Stenothoe minuta","species"
"Gnathia cerina","species"
"Ophiacantha","genus"
"Stenothoe cypris","species"
"Acanthonotozoma serratum","species"
"Poraniomorpha hispida","species"
"Leander tenuicornis","species"
"Caberea ellisii","species"
"Crisia denticulata","species"
"Idmonea atlantica","species"
"Amphiblestrum flemingii","species"
"Gammarus obtusatus","species"
"Marinogammarus stoerensis","species"
"Gammarus duebeni","species"
"Gammarus setosus","species"
"Stereomastis sculpta","species"
"Trichotropis borealis","species"
"Gammarus oceanicus","species"
"Columba livia","species"
"Carduelis tristis","species"
"Catharus mustelinus","species"
"Dendroica petechia","species"
"Acer saccharum","species"
"Acer rubrum","species"
"Fagus grandifolia","species"
"Ostrya virginiana","species"
"Fraxinus americana","species"
"Ulmus americana","species"
"Betula alleghaniensis","species"
"Solidago","genus"
"Betula papyrifera","species"
"Quercus rubra","species"
"Tilia americana","species"
"Tsuga canadensis","species"
"Acer pensylvanicum","species"
"Picea glauca","species"
"Picea rubens","species"
"Abies balsamea","species"
"Picea mariana","species"
"Clethrionomys gapperi","species"
"Napaeozapus insignis","species"
"Tamias striatus","species"
"Coryphaena hippurus","species"
"Thunnus albacares","species"
"Amblyraja radiata","species"
"Hippoglossoides platessoides","species"
"Melanogrammus aeglefinus","species"
"Myoxocephalus octodecemspinosus","species"
