"geom","min_year","max_year","year_interval","year_count","id"
"POINT(-65.50048 43.2532)",1970,1981,11,"12",12288
"POINT(-61.455567 46.07815)",2011,2014,3,"2",15434
"POINT(-65.50048 43.2532)",1970,1981,11,"12",12529
"POINT(-77.396957 43.50608)",1997,2018,21,"22",14032
"POINT(-65.50048 43.2532)",1995,2016,21,"22",12293
"POINT(-82.45056 42.31778)",1985,1994,9,"10",14822
"POINT(-58.635512 47.364248)",1971,1994,23,"21",10609
"POINT(-72.88129 46.69751)",2017,2021,4,"4",15986
"POINT(-59.348941 46.441917)",1977,1994,17,"15",10321
"POINT(-62.511072 46.018891)",2005,2010,5,"6",15407
"POINT(-78.523333 45.595278)",1952,1995,43,"43",11277
"POINT(-69.041914 40.95268)",1969,2008,39,"40",14784
"POINT(-68.615921 41.275324)",1950,2016,66,"67",14740
"POINT(-66.46191 46.56531)",2008,2013,5,"2",12936
"POINT(-49.956886 45.114711)",1970,1994,24,"25",10212
"POINT(-72.82857 45.04889)",2016,2019,3,"2",16224
"POINT(-65.50048 43.2532)",1970,1981,11,"12",12127
"POINT(-61.56738 44.19795)",1995,2016,21,"22",11338
"POINT(-65.50048 43.2532)",1984,1994,10,"10",12612
"POINT(-61.017433 46.6243)",2008,2010,2,"3",15428
"POINT(-68.871657 43.27657)",1982,2014,32,"33",14511
"POINT(-62.74132 45.67583)",2009,2010,1,"2",15482
"POINT(-79.361398 43.62142)",2006,2012,6,"4",13523
"POINT(-56.383301 46.711721)",1999,2010,11,"10",14913
"POINT(-76.794435 44.062208)",1992,2018,26,"27",13680
"POINT(-62.067902 49.652037)",1977,1991,14,"6",10739
"POINT(-64.573724 46.34102)",2004,2010,6,"5",15799
"POINT(-61.181309 42.866877)",1970,1994,24,"25",10866
"POINT(-74.381869 45.160229)",1984,2018,34,"17",13758
"POINT(-61.56738 44.19795)",1982,1994,12,"13",12476
"POINT(-61.56738 44.19795)",1970,1981,11,"12",11435
"POINT(-72.88129 46.69751)",2016,2021,5,"6",16043
"POINT(-53.864595 53.910492)",1971,1994,23,"21",10364
"POINT(-50.521046 49.772834)",1975,2006,31,"32",14730
"POINT(-65.63232 43.2452)",1982,2006,24,"25",14391
"POINT(-52.782383 44.683779)",1981,1993,12,"5",11003
"POINT(-81.87611 45.625)",1950,1983,33,"34",13275
"POINT(-62.067902 49.652037)",1978,1993,15,"11",10556
"POINT(-78.523333 45.595278)",1952,1995,43,"43",12953
"POINT(-78.291582 43.944964)",1987,2016,29,"30",13919
"POINT(-68.615921 41.275324)",1970,2016,46,"47",14654
"POINT(-74.58861 36.44722)",1985,2014,29,"30",14576
"POINT(-61.56738 44.19795)",1982,1994,12,"13",12632
"POINT(-52.757812 52.054271)",1995,2009,14,"15",14932
"POINT(-60.3 44.1)",1967,1990,23,"24",13333
"POINT(-62.4353 54.17529)",1980,2016,36,"10",12741
"POINT(-65.50048 43.2532)",1982,1994,12,"13",12199
"POINT(-55.995809 46.034584)",1977,1994,17,"3",10548
"POINT(-56.766309 56.477534)",1978,1988,10,"5",10230
"POINT(-52.757812 52.054271)",1977,1994,17,"18",14888
"POINT(-62.650653 47.394909)",1952,2012,60,"60",11299
"POINT(-75.363333 35.224444)",1992,1993,1,"2",12654
"POINT(-64.951922 46.75123)",2005,2010,5,"6",15448
"POINT(-71.71751 46.41901)",2018,2021,3,"3",15954
"POINT(-65.50048 43.2532)",1995,2016,21,"22",11664
"POINT(-61.56738 44.19795)",1971,1974,3,"2",12032
"POINT(-65.50048 43.2532)",1982,1988,6,"5",12317
"POINT(-65.098835 42.729563)",1985,1994,9,"4",10919
"POINT(-72.88129 46.69751)",2016,2020,4,"4",16113
"POINT(-77.22225 44.149251)",2001,2015,14,"14",13852
"POINT(-56.383301 46.711721)",1999,2010,11,"10",14961
"POINT(-55.995809 46.034584)",1975,1986,11,"5",10947
"POINT(-86 50)",1970,2014,44,"45",12789
"POINT(-64.573724 46.34102)",2004,2010,6,"7",15597
