Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Diphasiastrum digitatum (Dill. ex A. Braun) Holub,Holub (Dill. ex A. Braun),Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodium,Diphasiastrum digitatum,
"Calopogon tuberosus (L.) Britton, Sterns & Poggenb.","Britton, Sterns & Poggenb. (L.)",Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calopogon,Calopogon tuberosus,
Rhamnus cathartica Pall.,Pall.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,Rhamnus cathartica,
Sagittaria graminea Michx.,Michx.,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Sagittaria,Sagittaria graminea,
Equisetum hyemale L.,L.,Plantae,Tracheophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum,Equisetum hyemale,
Juniperus horizontalis Moench,Moench,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus horizontalis,
Acorus calamus L.,L.,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus calamus,
Crataegus punctata Jacq.,Jacq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus punctata,
Potamogeton amplifolius Tuck.,Tuck.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton amplifolius,
Crataegus macracantha Lodd.,Lodd.,,,,,,,Crataegus macracantha,
"Brachyelytrum aristosum (Michx.) Trel., Branner & Coville","Trel., Branner & Coville (Michx.)",Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Brachyelytrum,Brachyelytrum aristosum,
Symphyotrichum puniceum,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum puniceum,
Potamogeton foliosus Raf.,Raf.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton foliosus,
Huperzia lucidula (Michx.) Rothm.,Rothm. (Michx.),Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia lucidula,
Chrysanthemum leucanthemum,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Leucanthemum,Chrysanthemum leucanthemum,
Juncus alpinoarticulatus Chaix,Chaix,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,Juncus alpinoarticulatus,
Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton,Salisb. ex W.P.C.Barton (L.),Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Symplocarpus,Symplocarpus foetidus,
Trillium cernuum Michx.,Michx.,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,Trillium cernuum,
Oenothera biennis Walter,Walter,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera biennis,
Juniperus communis L.,L.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus communis,
Goodyera repens (L.) R.Br.,R.Br. (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Goodyera,Goodyera repens,
Dryopteris fragrans (L.) Schott,Schott (L.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris fragrans,
Chrysosplenium americanum Schwein.,Schwein.,,,,,,,Chrysosplenium americanum,
"Dactylorhiza viridis (L.) R.M.Bateman, Pridgeon & M.W.Chase","R.M.Bateman, Pridgeon & M.W.Chase (L.)",Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza,Dactylorhiza viridis,
Liparis loeselii (L.) Rich.,Rich. (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Liparis,Liparis loeselii,
Potamogeton alpinus Hegetschw.,Hegetschw.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton alpinus,
Vallisneria americana Michx.,Michx.,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Vallisneria,Vallisneria americana,
Lapsana communis L.,L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lapsana,Lapsana communis,
Potamogeton nodosus Poir.,Poir.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton nodosus,
Platanthera dilatata (Pursh) Lindl.,Lindl. (Pursh),,,,,,,Platanthera dilatata,
Triglochin palustris Ruching.,Ruching.,Plantae,Tracheophyta,Liliopsida,Alismatales,Juncaginaceae,Triglochin,Triglochin palustris,
Iris hookeri Penny,Penny,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Iris,Iris hookeri,
Asplenium trichomanes,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium trichomanes,
Dryopteris goldieana (Hook. ex Goldie) A. Gray,A. Gray (Hook. ex Goldie),,,,,,,Dryopteris goldieana,
Cuscuta gronovii Willd.,Willd.,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,Cuscuta gronovii,
Sagittaria rigida Pursh,Pursh,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Sagittaria,Sagittaria rigida,
Bidens cernua L.,L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens cernua,
Populus balsamifera Lyall,Lyall,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus balsamifera,
Dactylis glomerata,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactylis,Dactylis glomerata,
Salix discolor Muhl.,Muhl.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix discolor,
Dryopteris campyloptera (Kunze) J. R. Clarkson,J. R. Clarkson (Kunze),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris campyloptera,
Crataegus flabellata Bosc ex M. Roem.,Bosc ex M. Roem.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus flabellata,
