"id","source_name","source_id","source_record_id","scientific_name","authorship","rank","valid","valid_srid","classification_srids","created_at","modified_at","modified_by"
197595,"GBIF Backbone Taxonomy","11","5053","Sapphirinidae",NULL,"family",True,"5053","{1,54,9421786,687,5053}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
286796,"Catalogue of Life","1","8FG","Colletidae",NULL,"family",True,"8FG","{5T6MX,N,RT,H6,HYM,625GP,8FG}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
210231,"ITIS","3","180540","Ursidae",NULL,"family",True,"180540","{202423,914154,914156,158852,331030,914179,914181,179913,179916,179925,180539,552303,180540}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
204063,"GBIF Backbone Taxonomy","11","9647","Cicadellidae",NULL,"family",True,"9647","{1,54,216,809,9647}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
184150,"ITIS","3","1048724","Polycirridae",NULL,"family",True,"1048724","{202423,914154,914155,914159,64357,64358,914195,555669,555672,1048724}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
177041,"Catalogue of Life","1","84KNZ","Polychelidae",NULL,"family",True,"84KNZ","{5T6MX,N,RT,MC,33N,7NFJ8,85GD9,84KNZ}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
282729,"Catalogue of Life","1","HTJ","Vespidae",NULL,"family",True,"HTJ","{5T6MX,N,RT,H6,HYM,VP,HTJ}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
196323,"GBIF Backbone Taxonomy","11","3394","Oikopleuridae",NULL,"family",True,"3394","{1,44,211,1441,3394}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
179674,"Catalogue of Life","1","G5B","Scophthalmidae",NULL,"family",True,"G5B","{5T6MX,N,CH2,CT,622V4,G5B}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
257742,"Catalogue of Life","1","6D2","Anarhichadidae",NULL,"family",True,"6D2","{5T6MX,N,CH2,CT,PC,6D2}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
185694,"GBIF Backbone Taxonomy","11","4412","Ampeliscidae",NULL,"family",True,"4412","{1,54,229,1231,4412}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
190664,"GBIF Backbone Taxonomy","11","5618","Sclerodactylidae",NULL,"family",True,"5618","{1,50,222,1482,5618}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
155562,"GBIF Backbone Taxonomy","11","2984","Alcedinidae",NULL,"family",True,"2984","{1,44,212,1447,2984}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
156704,"GBIF Backbone Taxonomy","11","5289","Trochilidae",NULL,"family",True,"5289","{1,44,212,1448,5289}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
194522,"ITIS","3","593501","Metridinidae",NULL,"family",True,"593501","{202423,914154,914155,914158,82696,83677,621145,85257,610005,610007,85258,593501}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
251314,"ITIS","3","191328","Collemataceae",NULL,"family",True,"191328","{555705,936287,610624,610625,610630,936329,936362,191328}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
279519,"GBIF Backbone Taxonomy","11","7888","Lygaeidae",NULL,"family",True,"7888","{1,54,216,809,7888}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
207699,"GBIF Backbone Taxonomy","11","4486","Gomphidae",NULL,"family",True,"4486","{1,54,216,789,4486}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
203127,"ITIS","3","162303","Alepocephalidae",NULL,"family",True,"162303","{202423,914154,914156,158852,331030,914179,161061,161105,161928,553133,162056,623274,162303}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
263308,"VASCAN","147","229","Thymelaeaceae",NULL,"family",True,"229","{73,8,11,43,229}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
181672,"ITIS","3","171084","Chiasmodontidae",NULL,"family",True,"171084","{202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170913,171084}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
209352,"Catalogue of Life","1","73F","Bartramiaceae",NULL,"family",True,"73F","{5T6MX,P,BRY,8K,6228Q,73F}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
176494,"Catalogue of Life","1","7NHDY","Dulichiidae",NULL,"family",True,"7NHDY","{5T6MX,N,RT,MC,MP,7ZJJV,7ZJK2,7ZJKC,7NFM9,7NHDY}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
261772,"Catalogue of Life","1","627JZ","Polypodiaceae",NULL,"family",True,"627JZ","{5T6MX,P,TP,GV,3VL,627JZ}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
158175,"Catalogue of Life","1","7JF","Calcariidae",NULL,"family",True,"7JF","{5T6MX,N,CH2,V2,3RL,7JF}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
